City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,77.09,overcast clouds,-23.1203,-134.9692,Pension Maro'i
2,Illapel,CL,76.06,few clouds,-31.6308,-71.1653,Hotel Londres
3,Banda Aceh,ID,79.74,broken clouds,5.5577,95.3222,Sulthan Hotel International
9,Chuy,UY,71.37,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
13,Sao Filipe,CV,72.1,clear sky,14.8961,-24.4956,Tortuga B&B
14,Arraial Do Cabo,BR,82.4,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
15,Mackay,AU,73.4,scattered clouds,-21.15,149.2,International Lodge Motel
16,Isangel,VU,77.58,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
17,Kieta,PG,78.49,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
19,Lima,PE,75.99,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
20,Hilo,US,78.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
24,Oistins,BB,86.0,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
30,Atuona,PF,80.55,scattered clouds,-9.8,-139.0333,Villa Enata
33,Butaritari,KI,82.26,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
34,Carnarvon,AU,76.53,clear sky,-24.8667,113.6333,Hospitality Carnarvon
36,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
39,Qurayyat,SA,80.6,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
40,Mar Del Plata,AR,68.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
51,Kapit,MY,72.45,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
54,Muli,MV,83.23,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
55,Kattivakkam,IN,82.4,scattered clouds,13.2167,80.3167,Raj's villa
57,Hithadhoo,MV,82.6,clear sky,-0.6,73.0833,Scoop Guest House
58,Saint-Philippe,RE,75.2,"heavy intensity rain', 'mist",-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
59,Avarua,CK,77.0,few clouds,-21.2078,-159.775,Paradise Inn
60,Road Town,VG,84.2,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
66,Mahebourg,MU,77.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
67,Bengkulu,ID,75.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
68,Vila Velha,BR,81.0,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
71,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
72,Manaure,CO,89.37,overcast clouds,11.7751,-72.4445,Hotel Palaaima
77,Panipat,IN,71.2,clear sky,29.3889,76.9681,SPOT ON 68644 Shri Shyam Guest House
78,Dingle,PH,77.72,light rain,10.9995,122.6711,SEGAYA PROPERTY
84,Berbera,SO,82.24,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
85,Portland,US,77.0,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
86,Garhi Yasin,PK,80.6,haze,27.9069,68.51100000000001,Hashmi Guest House
87,Kapaa,US,70.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
88,Jalu,LY,95.4,few clouds,29.0331,21.5482,صاحبة الفخامة
91,Sonoita,MX,79.0,clear sky,31.85,-112.8333,Hotel Nora
92,Gerash,IR,75.2,clear sky,27.6652,54.1371,Sa'adat House
100,Puerto Ayora,EC,79.0,"light rain', 'drizzle rain",-0.7393,-90.3518,Finch Bay Galapagos Hotel
101,Vaini,TO,69.8,few clouds,-21.2,-175.2,Keleti Beach Resort
102,Cayenne,GF,84.2,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
104,Qui Nhon,VN,74.48,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
105,Marzuq,YE,70.83,clear sky,14.4,46.4667,
108,Mareeba,AU,77.0,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
121,Manado,ID,78.8,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
122,Haveli,PK,71.92,broken clouds,30.4502,73.6989,Nasir Khan Lodhi
128,Tautira,PF,86.0,few clouds,-17.7333,-149.15,Pension Oaoa
129,Marabba,SD,92.28,clear sky,12.35,32.1833,
135,Alofi,NU,68.0,clear sky,-19.0595,-169.9187,Taloa Heights
139,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
143,Ataco,CO,83.37,overcast clouds,3.5915,-75.3818,Hotel y Restaurante El Ganadero
151,Vao,NC,75.2,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
152,Praia Da Vitoria,PT,71.6,few clouds,38.7333,-27.0667,Hotel Branco I
153,Fuente De Oro,CO,72.43,overcast clouds,3.4594,-73.6128,Urbanización Casabrava
156,Amapa,BR,78.84,moderate rain,1.0,-52.0,
157,Cairns,AU,77.0,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
159,San Cristobal,VE,95.0,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
