City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Iisalmi,FI,63.5592,27.1907,41,60,0,3.44,clear sky
1,Rikitea,PF,-23.1203,-134.9692,77.09,68,100,8.86,overcast clouds
2,Illapel,CL,-31.6308,-71.1653,76.06,45,14,8.5,few clouds
3,Banda Aceh,ID,5.5577,95.3222,79.74,78,63,5.19,broken clouds
4,Roma,US,43.2128,-75.4557,53.01,50,90,4.61,overcast clouds
5,Brae,GB,60.3964,-1.353,44.6,81,0,18.41,clear sky
6,Port Elizabeth,ZA,-33.918,25.5701,66.2,77,0,9.22,clear sky
7,Leningradskiy,RU,69.3833,178.4167,29.77,87,100,9.44,overcast clouds
8,Hobart,AU,-42.8794,147.3294,55.4,62,70,16.11,broken clouds
9,Chuy,UY,-33.6971,-53.4616,71.37,66,0,7.76,clear sky
10,Severo-Kurilsk,RU,50.6789,156.125,35.83,72,100,6.35,overcast clouds
11,Sergeyevka,KZ,53.88,67.4158,47.14,59,100,2.84,overcast clouds
12,Beringovskiy,RU,63.05,179.3167,32.92,97,100,15.41,light snow
13,Sao Filipe,CV,14.8961,-24.4956,72.1,73,0,14.27,clear sky
14,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,78,40,14.97,scattered clouds
15,Mackay,AU,-21.15,149.2,73.4,88,40,8.05,scattered clouds
16,Isangel,VU,-19.55,169.2667,77.58,85,97,12.37,overcast clouds
17,Kieta,PG,-6.2167,155.6333,78.49,82,94,2.62,overcast clouds
18,Saskylakh,RU,71.9167,114.0833,8.37,94,100,11.43,overcast clouds
19,Lima,PE,-12.0432,-77.0282,75.99,68,0,13.8,clear sky
20,Hilo,US,19.7297,-155.09,78.8,61,40,3.13,scattered clouds
21,Lagoa,PT,39.05,-27.9833,61.72,91,100,17.27,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,53.6,94,0,2.3,clear sky
23,Soke,ML,13.598,-5.9386,96.13,16,42,4.29,scattered clouds
24,Oistins,BB,13.0667,-59.5333,86,54,75,19.57,broken clouds
25,Bluff,NZ,-46.6,168.3333,51.01,93,100,5.01,overcast clouds
26,Yellowknife,CA,62.456,-114.3525,37,64,75,10,broken clouds
